,Total Volume,month,region,year
513,176758565.0,Jul,TotalUS,2016.0
514,31122741.0,Jul,West,2016.0
515,4413370.0,Jul,WestTexNewMexico,2016.0
516,2661237.0,Jun,Atlanta,2016.0
517,3471365.0,Jun,BaltimoreWashington,2016.0
518,2591285.0,Jun,Boston,2016.0
519,27583891.0,Jun,California,2016.0
520,3547228.0,Jun,Chicago,2016.0
521,5246815.0,Jun,DallasFtWorth,2016.0
522,3414654.0,Jun,Denver,2016.0
523,1775687.0,Jun,Detroit,2016.0
524,15842803.0,Jun,GreatLakes,2016.0
525,4806244.0,Jun,Houston,2016.0
526,1530844.0,Jun,LasVegas,2016.0
527,13888883.0,Jun,LosAngeles,2016.0
528,2661088.0,Jun,MiamiFtLauderdale,2016.0
529,13199078.0,Jun,Midsouth,2016.0
530,6064601.0,Jun,NewYork,2016.0
531,18946771.0,Jun,Northeast,2016.0
532,1960164.0,Jun,NorthernNewEngland,2016.0
533,1555918.0,Jun,Orlando,2016.0
534,1816616.0,Jun,Philadelphia,2016.0
535,4955571.0,Jun,PhoenixTucson,2016.0
536,9312374.0,Jun,Plains,2016.0
537,3054260.0,Jun,Portland,2016.0
538,2027817.0,Jun,Sacramento,2016.0
539,2504924.0,Jun,SanDiego,2016.0
540,3330739.0,Jun,SanFrancisco,2016.0
541,3002897.0,Jun,Seattle,2016.0
542,1635288.0,Jun,SouthCarolina,2016.0
543,25064897.0,Jun,SouthCentral,2016.0
544,16517486.0,Jun,Southeast,2016.0
545,1677538.0,Jun,Tampa,2016.0
546,154985478.0,Jun,TotalUS,2016.0
547,28518174.0,Jun,West,2016.0
548,4108101.0,Jun,WestTexNewMexico,2016.0
549,3463166.0,May,Atlanta,2016.0
550,4770762.0,May,BaltimoreWashington,2016.0
551,3767928.0,May,Boston,2016.0
552,35840687.0,May,California,2016.0
553,4867064.0,May,Chicago,2016.0
554,7136646.0,May,DallasFtWorth,2016.0
555,5135326.0,May,Denver,2016.0
556,2045260.0,May,Detroit,2016.0
557,20885929.0,May,GreatLakes,2016.0
558,1540713.0,May,HarrisburgScranton,2016.0
559,2020565.0,May,HartfordSpringfield,2016.0
560,6682770.0,May,Houston,2016.0
561,1914914.0,May,LasVegas,2016.0
562,17567314.0,May,LosAngeles,2016.0
563,3994982.0,May,MiamiFtLauderdale,2016.0
564,17612081.0,May,Midsouth,2016.0
565,1936131.0,May,NewOrleansMobile,2016.0
566,9605379.0,May,NewYork,2016.0
567,27528814.0,May,Northeast,2016.0
568,2593816.0,May,NorthernNewEngland,2016.0
569,2437635.0,May,Orlando,2016.0
570,2650982.0,May,Philadelphia,2016.0
571,6483070.0,May,PhoenixTucson,2016.0
572,11612044.0,May,Plains,2016.0
573,4434488.0,May,Portland,2016.0
574,1559287.0,May,RaleighGreensboro,2016.0
575,2522886.0,May,Sacramento,2016.0
576,3124875.0,May,SanDiego,2016.0
577,4632948.0,May,SanFrancisco,2016.0
578,4453121.0,May,Seattle,2016.0
579,2347973.0,May,SouthCarolina,2016.0
580,34532845.0,May,SouthCentral,2016.0
581,24614792.0,May,Southeast,2016.0
582,2642947.0,May,Tampa,2016.0
583,211814173.0,May,TotalUS,2016.0
584,39186978.0,May,West,2016.0
585,4946503.0,May,WestTexNewMexico,2016.0
586,2214480.0,Apr,Atlanta,2016.0
587,3411552.0,Apr,BaltimoreWashington,2016.0
588,2515102.0,Apr,Boston,2016.0
589,26697041.0,Apr,California,2016.0
590,3407276.0,Apr,Chicago,2016.0
